batch_size,per_sample_ms,throughput_sps,batch_latency_ms,device,dataset,seq_p99_ms
1,0.1332505003119877,7504.662253864996,0.1332505003119877,cpu,german,0.2768
32,0.004835937502889465,206785.13719470147,0.15475000009246287,cpu,german,0.2768
128,0.001340492183032893,745994.6523056016,0.17158299942821031,cpu,german,0.2768
512,0.0009963524985323602,1003660.854439581,0.19927049970647204,cpu,german,0.2768
4096,0.0009839549966272898,1016306.6435230349,0.19679099932545796,cpu,german,0.2768
1,0.15314550000766758,6529.7380592308145,0.15314550000766758,cpu,creditcard,0.2267
32,0.005075531248621701,197023.71062567245,0.16241699995589443,cpu,creditcard,0.2267
128,0.0013694648437478918,730212.2464591669,0.17529149999973015,cpu,creditcard,0.2267
512,0.0005912685541176188,1691278.849578518,0.30272949970822083,cpu,creditcard,0.2267
4096,0.00039030957033059366,2562068.8704942497,1.5987080000741116,cpu,creditcard,0.2267
1,0.15385399956358015,6499.668535342496,0.15385399956358015,cpu,bank,0.2423
32,0.004949874991666547,202025.30400940796,0.15839599973332952,cpu,bank,0.2423
128,0.0014449843739328116,692049.006231328,0.1849579998633999,cpu,bank,0.2423
512,0.0005655927735048749,1768056.5361597233,0.28958350003449596,cpu,bank,0.2423
4096,0.0003375853271370133,2962214.0526093934,1.3827494999532064,cpu,bank,0.2423
